label,precision,recall,f1
0,0.9503105590062112,0.9503105590062112,0.9503105590062112
1,0.9553072625698324,0.9884393063583815,0.9715909090909092
2,0.8571428571428571,0.8044692737430168,0.829971181556196
3,0.8272251308900523,0.9080459770114943,0.8657534246575342
4,0.9075144508670521,0.8870056497175142,0.897142857142857
5,0.9153846153846154,0.8263888888888888,0.8686131386861314
6,0.9533333333333334,0.9225806451612903,0.9377049180327869
7,0.9090909090909091,0.9259259259259259,0.9174311926605504
8,0.8313953488372093,0.8614457831325302,0.8461538461538461
9,0.8410596026490066,0.8523489932885906,0.8466666666666667
