label,precision,recall,f1
0,0.9411764705882353,0.8888888888888888,0.9142857142857143
1,0.8902439024390244,0.948051948051948,0.9182389937106918
2,0.92,0.8734177215189873,0.896103896103896
3,0.8202247191011236,0.8795180722891566,0.8488372093023256
4,0.8690476190476191,0.9012345679012346,0.8848484848484849
5,0.7837837837837838,0.7631578947368421,0.7733333333333334
6,0.8823529411764706,0.9146341463414634,0.8982035928143712
7,0.9125,0.8588235294117647,0.8848484848484848
8,0.863013698630137,0.7875,0.8235294117647058
9,0.8271604938271605,0.8701298701298701,0.8481012658227849
