label,0,1,2,3,4,5,6,7,8,9
0,48,0,0,0,0,2,4,0,0,0
1,0,73,1,0,0,2,0,0,1,0
2,0,0,69,1,3,1,2,0,2,1
3,1,1,1,73,0,2,1,1,2,1
4,1,0,1,0,73,0,0,1,2,3
5,0,2,1,9,1,58,3,0,1,1
6,0,0,1,0,0,4,75,0,2,0
7,0,2,1,0,3,1,0,73,0,5
8,0,4,0,5,2,3,0,0,63,3
9,1,0,0,1,2,1,0,5,0,67
