label,0,1,2,3,4,5,6,7,8,9
0,153,0,1,1,0,1,0,0,3,2
1,0,171,1,1,0,0,0,0,0,0
2,2,2,144,9,2,0,3,6,10,1
3,0,0,5,158,0,2,0,3,3,3
4,1,2,2,0,157,1,2,0,3,9
5,2,0,2,11,2,119,2,0,3,3
6,0,1,5,2,1,2,143,0,1,0
7,0,1,4,0,2,0,0,150,2,3
8,0,2,3,9,2,4,0,0,143,3
9,3,0,1,0,7,1,0,6,4,127
