label,0,1,2,3,4,5,6,7,8,9
0,851,0,0,0,0,0,1,0,1,0
1,0,924,8,0,0,0,1,6,0,0
2,0,0,783,1,1,0,0,5,2,0
3,1,0,0,859,0,3,0,3,3,3
4,0,2,1,0,808,0,2,2,0,12
5,1,0,1,7,0,750,2,0,2,1
6,5,0,0,0,0,1,824,0,1,0
7,0,0,4,0,2,0,0,884,1,0
8,0,2,4,0,2,2,2,3,813,8
9,0,0,0,2,1,0,0,9,2,788
